Ticker,Name,Price,30 Day Price Change,Drug,NCT Number,Indication,Stage,Status,Next Catalyst,Catalyst Date,Catalyst,Conference,Historical LOA,Historical POP,Bullish or Bearish,Market Cap,Last Updated,No Of Shares
CELC,Celcuity Inc.,125.0650,144.98; 141.69; 139.44; 130.71; 131.06; 125.64; 124.68; 124.47; 134.72; 137.68; 132.18; 130.96; 140.34; 142.53; 138.23; 134.26; 133.97; 130.91; 132.88,Gedatolisib with Fulvestrant - (VIKTORIA-1),NCT05501886,HR+/HER2- advanced breast cancer,phase5,Ongoing,Regulatory Decision,2026-07-17,"PDUFA Priority Review date on July 17, 2026. Celcuity (CELC) reported positive Phase 3 topline results demonstrated statistically significant and clinically meaningful PFS improvement versus alpelisib plus fulvestrant, supporting planned sNDA submission, noted May 1, 2026. Additional data to be shared at ASCO on June 2, 2026.",,88.73,88.73,Bull -% / Neutral -% / Bear -%,6098955809,2026-05-15 11:10:29,48766288
MNKD,MannKind Corporation,3.5150,2.81; 2.86; 3.56; 3.55; 3.52; 3.36; 3.28; 3.21; 3.22; 3.09; 2.99; 2.96; 3.25; 3.31; 3.38; 3.53; 3.55; 3.64; 3.77,FUROSCIX ReadyFlow Autoinjector (SCP-111),,Edema in adult patients with chronic heart failure (CHF) or chronic kidney disease (CKD),phase5,Ongoing,Regulatory Decision,2026-07-26,"PDUFA target action date of July 26, 2026.",,—,—,Bull -% / Neutral -% / Bear -%,1085959833,2026-02-26 08:22:48,308950166
NRXP,NRX Pharmaceuticals Inc.,4.7600,3; 3.04; 3.05; 3.06; 3.08; 2.82; 2.87; 2.95; 3.21; 3.28; 3.115; 3.03; 2.97; 3.06; 3.22; 4.31; 4.28; 4.44; 4.42,KETAFREE,,Preservative-free intravenous ketamine formulation,phase5,Ongoing,Regulatory Decision,2026-07-29,"GDUFA date expected July 29, 2026. The company received a letter from the FDA Office of Generic Drugs' Bioequivalence Program stating that ""FDA has not identified any bioequivalence deficiencies at this time,"" noted March 17, 2026.",,87.13,87.13,Bull 100% / Neutral 0% / Bear 0%,172450002,2026-05-18 07:58:11,36228992
VTRS,Viatris Inc.,15.7700,15.091234347048298; 15.408944543828262; 15.835867620751339; 17.265563506261177; 17.047137745974954; 16.798926654740608; 17.047137745974954; 17.24570661896243; 17.13649373881932; 16.362075134168155; 16.381932021466902; 16.054293381037567; 16.471288014311266; 16.342218246869407; 16.65; 16.26; 16.29; 16.11; 16.26,MR-100A-01(Low dose estrogen weekly patch (150 mcg norelgestromin and 17.5 mcg ethinyl estradiol)),NCT05139121,Contraception,phase5,Ongoing,,2026-07-30,"PDUFA date of July 30, 2026.",,87.58,87.58,Bull -% / Neutral -% / Bear -%,18364995354,2026-05-01 19:11:20,1164552654
MRNA,Moderna Inc.,45.7950,47.3; 46.71; 48.79; 48.54; 54.35; 52.88; 53.27; 50.42; 50.03; 49.04; 48.11; 45.72; 48.12; 47.26; 46.88; 47.03; 47.61; 47.57; 47.19,mRNA-1010 - (P304),NCT05415462,Seasonal influenza in U.S. adults 50 years of age and older,phase5,Ongoing,Regulatory Decision,2026-08-05,"Following the Type A Meeting, the FDA has accepted the BLA application, with a PDUFA date of August 5, 2026.",,90.33,90.33,Bull 100% / Neutral 0% / Bear 0%,18170826731,2026-05-07 04:41:22,396786259
LNTH,Lantheus Holdings Inc.,97.6400,87.78; 85.82; 86.15; 91; 93.06; 94.07; 96.23; 96.46; 96.67; 93.91; 93.13; 92.89; 96.09; 94.47; 103; 100.06; 99.09; 99.62; 99.3,Florquinitau  (MK-6240),,Alzheimer's disease,phase5,Ongoing,,2026-08-13,"PDUFA date of August 13, 2026.",,87.28,87.28,Bull -% / Neutral -% / Bear -%,6356957846,2025-10-28 10:08:16,65106082
BMY,Bristol-Myers Squibb Company,54.7350,57.38; 56.95; 56.59; 56.25; 56.16; 55.67; 56.45; 56.39; 56.77; 57; 57.31; 58.31; 58.54; 59.55; 59.46; 58.03; 57.52; 56.91; 57.18,"iberdomide, daratumumab, and dexamethasone vs. daratumumab, bortezomib, and dexamethasone - (EXCALIBER RRMM)",NCT04975997,Relapsed/refractory multiple myeloma (RRMM),phase5,Ongoing,Regulatory Decision,2026-08-17,"PDUFA date of August 17, 2026",,88.73,88.73,Bull -% / Neutral -% / Bear -%,111772769705,2026-02-17 07:20:42,2042071247
MRK,Merck & Company Inc.,114.5300,113.11; 113.15; 113.56; 112.3; 111.38; 111.28; 112.37; 113.45; 113.41; 111.38; 112.56; 114.24; 113; 115.88; 122.41; 119.72; 120.24; 119.89; 118.72,KEYTRUDA (pembrolizumab) plus Padcev  (enfortumab vedotin-ejfv) - (KEYNOTE-B15/EV-304),NCT04700124,Muscle-invasive bladder cancer (MIBC),phase5,Ongoing,Regulatory Decision,2026-08-17,"PDUFA Priority Review action date of August 17, 2026.",,88.73,88.73,Bull -% / Neutral -% / Bear -%,282868990250,2026-04-20 07:33:48,2469824415
PFE,Pfizer Inc.,25.6550,25.8668709306779; 26.01440061279203; 26.09308310991957; 26.04390654921486; 25.68; 25.81; 25.87; 25.96; 25.75; 25.33; 25.33; 25.66; 25.79; 25.95; 25.9; 25.85; 26.21; 26.14; 26.18,KEYTRUDA (pembrolizumab) plus Padcev  (enfortumab vedotin-ejfv) - (KEYNOTE-B15/EV-304),NCT04700124,Muscle-invasive bladder cancer (MIBC),phase5,Ongoing,Regulatory Decision,2026-08-17,"PDUFA Priority Review action date of August 17, 2026.",,88.73,88.73,Bull -% / Neutral -% / Bear -%,146219240156,2026-04-20 07:33:48,5699444169
ALPMY,Astellas Pharma Inc. ADR,13.5000,13.92; 14.05; 14.36; 14.45; 14.67; 14.78; 14.72; 15.04; 14.95; 14.69; 14.45; 14.56; 14.54; 14.43; 14.21; 13.93; 13.41; 13.43; 14.18,KEYTRUDA (pembrolizumab) plus Padcev  (enfortumab vedotin-ejfv) - (KEYNOTE-B15/EV-304),NCT04700124,Muscle-invasive bladder cancer (MIBC),phase5,Ongoing,Regulatory Decision,2026-08-17,"PDUFA Priority Review action date of August 17, 2026.",,88.73,88.73,Bull -% / Neutral -% / Bear -%,24166619136,2026-04-20 07:33:48,1790119936
CAPR,Capricor Therapeutics Inc.,28.3600,33.5; 32.96; 34.38; 33.94; 30.38; 31.9; 31.52; 30.33; 29.81; 28.79; 28.015; 26.92; 29.01; 29.58; 28.87; 29.36; 29.14; 29.11; 29.96,Deramiocel (CAP-1002) - (HOPE-2),NCT05126758,Duchenne Muscular Dystrophy (DMD),phase5,Ongoing,Regulatory Decision,2026-08-22,"PDUFA date August 22, 2026. FDA lifted previously issued CRL, noted March 10, 2026. CRL issued by the FDA on July 11, 2025.",,94.73,94.73,Bull 70% / Neutral 10% / Bear 20%,1642381285,2026-03-13 12:16:31,57911893
RARE,Ultragenyx Pharmaceutical Inc.,23.1350,24.81; 25.01; 25.93; 26.13; 26.12; 26.3; 26.84; 26.46; 25.8; 25; 24.19; 22.45; 23.37; 23.71; 23.39; 23.14; 23.39; 23.26; 23.94,DTX401 AAV gene therapy (pariglasgene brecaparvovec),NCT03517085,Glycogen Storage Disease Type Ia (GSDIa),phase5,Ongoing,Regulatory Decision,2026-08-23,"PDUFA date set for August 23, 2026.",,87.98,87.98,Bull 50% / Neutral 50% / Bear 0%,2278548197,2026-02-23 08:44:47,98489224
BIIB,Biogen Inc.,193.0600,187.21; 189.13; 190.68; 191.38; 193.45; 197.95; 199.36; 204.53; 191.37; 192.95; 191.91; 190.56; 187.8; 189.47; 193.76; 193.08; 196.97; 196.39; 196,LEQEMBI IQLIK (lecanemab-irmb)(at-home injection),NCT03887455,Early Alzheimer's disease (AD) a-home injection,phase5,Ongoing,Regulatory Decision,2026-08-24,"PDUFA Priority Review Date extended by 3 months to August 24, 2026.",,87.28,87.28,Bull -% / Neutral -% / Bear -%,28502821808,2026-05-08 07:32:37,147637117
JAZZ,Jazz Pharmaceuticals plc,231.6200,208.06; 212.26; 228.57; 226.96; 225.79; 223.61; 227.84; 232.33; 231.05; 228.77; 229.55; 237.45; 239.01; 239.4; 239.83; 237.41; 237.56; 235.38; 236.49,Ziihera (zanidatamab-hrii) - (HERIZON-GEA-01),NCT05152147,First-line HER2-positive gastroesophageal adenocarcinoma (GEA),phase5,Ongoing,Regulatory Decision,2026-08-25,"PDUFA Priority Review date of August 25, 2026.",,88.73,88.73,Bull -% / Neutral -% / Bear -%,14548013751,2026-05-22 14:46:12,62809834
ZYME,Zymeworks Inc.,24.2750,26.78; 26.68; 27.61; 26.6; 23.89; 24.03; 23.9; 24.57; 23.96; 23.93; 24.43; 24.4; 24.84; 25.11; 25.61; 25.4; 24.79; 25.48; 25.13,Ziihera (zanidatamab-hrii) - (HERIZON-GEA-01),NCT05152147,First-line HER2-positive gastroesophageal adenocarcinoma (GEA),phase5,Ongoing,Regulatory Decision,2026-08-25,"PDUFA Priority Review date of August 25, 2026.",,88.73,88.73,Bull -% / Neutral -% / Bear -%,1772634806,2026-05-22 14:46:12,73023061
ONC,BeOne Medicines Ltd.,277.0150,297.14; 297.49; 313.32; 317; 312.12; 310.75; 315.07; 316.55; 304.62; 293.27; 293.09; 297.01; 308.74; 309.62; 310.25; 302.44; 300.01; 290.58; 287.92,Ziihera (zanidatamab-hrii) - (HERIZON-GEA-01),NCT05152147,First-line HER2-positive gastroesophageal adenocarcinoma (GEA),phase5,Ongoing,Regulatory Decision,2026-08-25,"PDUFA Priority Review date of August 25, 2026.",,88.73,88.73,Bull -% / Neutral -% / Bear -%,30796872812,2026-05-22 14:46:12,111174026
GILD,Gilead Sciences Inc.,130.9750,132.69; 133.48; 136.3; 134.06; 131.33; 133.52; 134.94; 133.05; 132.06; 129.58; 129.67; 130.5; 130.69; 130.5; 134.36; 133.73; 133.69; 136.22; 134.43,Bictegravir and Lenacapavir - (ARTISTRY-2),NCT06333808,HIV,phase5,Ongoing,Regulatory Decision,2026-08-27,"PDUFA Priority Review date of August 27, 2026.",,90.33,90.33,Bull -% / Neutral -% / Bear -%,162614614247,2026-05-08 08:17:48,1241569874
MGNX,MacroGenics Inc.,4.2150,3.2; 3.15; 3.01; 2.94; 3; 2.95; 3.52; 3.45; 4.16; 4.25; 4.35; 4.52; 4.46; 4.24; 4.53; 4.47; 4.38; 4.21; 4.16,MGC026,NCT06242470,Advanced Solid Tumors,phase1,Ongoing,Initial Data,2026-08-31,Phase 1 enrollment completed with initial clin ical data expected mid-2026.,,9.87,60.87,Bull -% / Neutral -% / Bear -%,267918563,2026-03-13 14:05:37,63563123
NMRA,Neumora Therapeutics Inc.,1.8450,2.31; 2.3; 2.33; 1.94; 1.83; 1.87; 1.9; 1.78; 1.97; 1.84; 1.77; 1.67; 1.72; 1.85; 1.85; 1.84; 1.86; 1.88; 1.85,NMRA-898,,Schizophrenia,phase1,Ongoing,,2026-08-31,"Phase 1 dosing commenced, noted October 27, 2025. Phase 1 data expected mid-2026.",,10.76,60.67,Bull -% / Neutral -% / Bear -%,341849430,2026-01-05 07:17:15,185284244
RADX,Radiopharm Theranostics Limited,4.5001,4.5; 4.59; 4.25; 4.15; 4; 4; 4.16; 4.52; 4.73; 4.71; 4.75; 4.64; 4.58; 4.6; 4.63; 4.61; 4.54; 4.62; 4.58,RAD202 (177Lu-RAD202) - (HEAT),NCT06824155,HER2+ solid tumors,phase1,Ongoing,Interim Data,2026-08-31,"Phase 1 onging with enrollment completion from higher dose cohort 3 and data from 3rd abd 2nd chort expected mid-2026. Phase 1 data shared at AACR demonstrated encouraging tumor uptake and a favorable safety profile in the lowest dose cohort , noted April 20, 2026. Phase 1 DSMC recommended to advance its clinical stage, noted April 8, 2026. Phase 1 completion expected by year-end 2026.",,9.87,60.87,Bull -% / Neutral -% / Bear -%,57394518,2026-04-23 07:26:10,12754054
RADX,Radiopharm Theranostics Limited,4.5001,4.5; 4.59; 4.25; 4.15; 4; 4; 4.16; 4.52; 4.73; 4.71; 4.75; 4.64; 4.58; 4.6; 4.63; 4.61; 4.54; 4.62; 4.58,177Lu-RAD204,NCT06305962,PD‑L1+ solid tumors,phase1,Data Released,Interim Data,2026-08-31,"Data from the third cohort of patients at 90mCi in the Phase 1 study of RAD 204 are expected mid-2026. Phase 1 completion of enrollment for the second cohort  announced November 12, 2025. Phase 1 data reported that two out of three patients in the 30mCi cohort exhibited stable disease for 5.5 months in metastatic NSCLC, compared to historical data of 3.5 months PFS with standard of care (SOC)., noted January 28, 2026.",,9.87,60.87,Bull -% / Neutral -% / Bear -%,57394518,2026-04-23 07:26:57,12754054
CLYM,Climb Bio Inc.,11.8500,9.69; 11.45; 12.22; 11.91; 11.37; 11.12; 11.17; 11.41; 11.33; 10.8; 9.88; 9.65; 10.52; 10.91; 11; 11.39; 11.96; 11.34; 10.96,CLYM116,NCT04652570,IgA Nephropathy (IgAN),phase1,Ongoing,Initial Data,2026-08-31,Phase 1 is ongoing in healthy volunteers with initial data expected mid-2026.,,13.8,60.32,Bull -% / Neutral -% / Bear -%,678566823,2026-03-05 15:22:09,57263023
